       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
         -200           -150           -100    -0.00514705     0.00642008    -0.00503587              0              0              0
         -196           -150           -100    -0.00527969     0.00645659    -0.00507609              0              0              0
         -192           -150           -100    -0.00541233      0.0064931    -0.00511631              0              0              0
         -188           -150           -100    -0.00554497     0.00652961    -0.00515653              0              0              0
         -184           -150           -100    -0.00567761     0.00656612    -0.00519675              0              0              0
         -180           -150           -100    -0.00580564     0.00663435    -0.00527894              0              0              0
         -176           -150           -100    -0.00593282     0.00670847    -0.00536893              0              0              0
         -172           -150           -100    -0.00605999     0.00678259    -0.00545892              0              0              0
         -168           -150           -100    -0.00618717     0.00685671    -0.00554891              0              0              0
         -164           -150           -100    -0.00631434     0.00693083     -0.0056389              0              0              0
         -160           -150           -100    -0.00643852     0.00700523    -0.00573242              0              0              0
         -156           -150           -100     -0.0065496      0.0070808    -0.00584133              0              0              0
         -152           -150           -100    -0.00666068     0.00715638    -0.00595024              0              0              0
         -148           -150           -100    -0.00677176     0.00723195    -0.00605916              0              0              0
         -144           -150           -100    -0.00688285     0.00730752    -0.00616807              0              0              0
         -140           -150           -100    -0.00699393      0.0073831    -0.00627698              0              0              0
         -136           -150           -100    -0.00709017     0.00745853     -0.0063954              0              0              0
         -132           -150           -100    -0.00717323     0.00753382    -0.00652224              0              0              0
         -128           -150           -100     -0.0072563     0.00760912    -0.00664909              0              0              0
         -124           -150           -100    -0.00733937     0.00768442    -0.00677593              0              0              0
         -120           -150           -100    -0.00742243     0.00775971    -0.00690278              0              0              0
         -116           -150           -100     -0.0075055     0.00783501    -0.00702962              0              0              0
         -112           -150           -100    -0.00755286     0.00790824    -0.00716984              0              0              0
         -108           -150           -100    -0.00759503     0.00798117    -0.00731201              0              0              0
         -104           -150           -100     -0.0076372      0.0080541    -0.00745417              0              0              0
         -100           -150           -100    -0.00767937     0.00812702    -0.00759633              0              0              0
          -96           -150           -100    -0.00772154     0.00819995     -0.0077385              0              0              0
