       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          148           -150           -100     0.00183962     0.00292728    -0.00325795              0              0              0
          152           -150           -100     0.00189789     0.00291454    -0.00321749              0              0              0
          156           -150           -100     0.00195287      0.0029011    -0.00317617              0              0              0
          160           -150           -100     0.00200444     0.00288697    -0.00313407              0              0              0
          164           -150           -100     0.00205281     0.00287219    -0.00309133              0              0              0
          168           -150           -100     0.00209804     0.00285679    -0.00304804              0              0              0
          172           -150           -100     0.00213984      0.0028407    -0.00300423              0              0              0
          176           -150           -100     0.00217827     0.00282396       -0.00296              0              0              0
          180           -150           -100     0.00221358     0.00280662    -0.00291546              0              0              0
          184           -150           -100     0.00224587     0.00278871    -0.00287068              0              0              0
          188           -150           -100     0.00227508     0.00277021    -0.00282572              0              0              0
          192           -150           -100     0.00230094     0.00275109    -0.00278064              0              0              0
          196           -150           -100     0.00232401     0.00273145    -0.00273554              0              0              0
          200           -150           -100     0.00234418     0.00271129    -0.00269046              0              0              0
          204           -150           -100     0.00236151     0.00269062    -0.00264548              0              0              0
          208           -150           -100     0.00237589     0.00266943    -0.00260064              0              0              0
          212           -150           -100     0.00238762     0.00264778    -0.00255601              0              0              0
          216           -150           -100     0.00239678     0.00262569    -0.00251162              0              0              0
          220           -150           -100     0.00240346     0.00260318    -0.00246753              0              0              0
          224           -150           -100     0.00240774     0.00258029    -0.00242377              0              0              0
          228           -150           -100      0.0024097     0.00255702    -0.00238037              0              0              0
          232           -150           -100     0.00240944      0.0025334    -0.00233739              0              0              0
          236           -150           -100     0.00240689     0.00250944    -0.00229487              0              0              0
          240           -150           -100     0.00240222     0.00248517    -0.00225284              0              0              0
          244           -150           -100      0.0023956     0.00246064     -0.0022113              0              0              0
          248           -150           -100     0.00238712     0.00243585    -0.00217029              0              0              0
          252           -150           -100     0.00237685     0.00241084    -0.00212982              0              0              0
          256           -150           -100     0.00236488     0.00238563    -0.00208992              0              0              0
          260           -150           -100     0.00235131     0.00236025    -0.00205059              0              0              0
          264           -150           -100     0.00233616     0.00233471    -0.00201187              0              0              0
          268           -150           -100     0.00231947     0.00230903    -0.00197379              0              0              0
          272           -150           -100      0.0023014     0.00228325    -0.00193635              0              0              0
          276           -150           -100     0.00228208      0.0022574    -0.00189951              0              0              0
          280           -150           -100     0.00226158     0.00223148    -0.00186329              0              0              0
          284           -150           -100     0.00223979     0.00220553     -0.0018278              0              0              0
          288           -150           -100     0.00221698     0.00217956    -0.00179292              0              0              0
          292           -150           -100     0.00219239     0.00215365    -0.00175922              0              0              0
          296           -150           -100     0.00216721     0.00212776    -0.00172592              0              0              0
          300           -150           -100     0.00214203     0.00210186    -0.00169262              0              0              0
          304           -150           -100     0.00211547     0.00207611    -0.00166048              0              0              0
          308           -150           -100     0.00208782     0.00205046    -0.00162926              0              0              0
          312           -150           -100     0.00206018     0.00202481    -0.00159804              0              0              0
