       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
         -200           -150           -100    -0.00315193     0.00391628    -0.00307493              0              0              0
         -196           -150           -100    -0.00323426     0.00393857    -0.00309963              0              0              0
         -192           -150           -100    -0.00331659     0.00396086    -0.00312434              0              0              0
         -188           -150           -100    -0.00339891     0.00398315    -0.00314904              0              0              0
         -184           -150           -100    -0.00348124     0.00400543    -0.00317374              0              0              0
         -180           -150           -100    -0.00356069     0.00404709    -0.00322428              0              0              0
         -176           -150           -100    -0.00363961     0.00409234    -0.00327962              0              0              0
         -172           -150           -100    -0.00371852     0.00413759    -0.00333495              0              0              0
         -168           -150           -100    -0.00379744     0.00418285    -0.00339029              0              0              0
         -164           -150           -100    -0.00387635      0.0042281    -0.00344563              0              0              0
         -160           -150           -100     -0.0039534     0.00427352    -0.00350316              0              0              0
         -156           -150           -100    -0.00402229     0.00431966    -0.00357026              0              0              0
         -152           -150           -100    -0.00409118     0.00436581    -0.00363736              0              0              0
         -148           -150           -100    -0.00416008     0.00441195    -0.00370445              0              0              0
         -144           -150           -100    -0.00422897     0.00445809    -0.00377155              0              0              0
         -140           -150           -100    -0.00429786     0.00450424    -0.00383865              0              0              0
         -136           -150           -100    -0.00435751     0.00455028    -0.00391165              0              0              0
         -132           -150           -100    -0.00440896     0.00459624    -0.00398988              0              0              0
         -128           -150           -100    -0.00446041      0.0046422    -0.00406812              0              0              0
         -124           -150           -100    -0.00451185     0.00468816    -0.00414635              0              0              0
         -120           -150           -100     -0.0045633     0.00473412    -0.00422459              0              0              0
         -116           -150           -100    -0.00461475     0.00478008    -0.00430282              0              0              0
         -112           -150           -100    -0.00464397     0.00482474    -0.00438936              0              0              0
         -108           -150           -100    -0.00466996     0.00486922    -0.00447711              0              0              0
         -104           -150           -100    -0.00469595      0.0049137    -0.00456485              0              0              0
         -100           -150           -100    -0.00472194     0.00495817    -0.00465259              0              0              0
          -96           -150           -100    -0.00474793     0.00500265    -0.00474034              0              0              0
          -92           -150           -100     -0.0047667     0.00504652    -0.00482949              0              0              0
          -88           -150           -100     -0.0047593     0.00508816    -0.00492372              0              0              0
          -84           -150           -100     -0.0047519      0.0051298    -0.00501795              0              0              0
          -80           -150           -100    -0.00474449     0.00517144    -0.00511218              0              0              0
          -76           -150           -100    -0.00473709     0.00521308    -0.00520641              0              0              0
          -72           -150           -100    -0.00472969     0.00525472    -0.00530064              0              0              0
          -68           -150           -100    -0.00470034     0.00529415    -0.00539594              0              0              0
          -64           -150           -100    -0.00465371     0.00533183    -0.00549206              0              0              0
          -60           -150           -100    -0.00460708     0.00536952    -0.00558819              0              0              0
          -56           -150           -100    -0.00456045      0.0054072    -0.00568432              0              0              0
          -52           -150           -100    -0.00451382     0.00544488    -0.00578044              0              0              0
          -48           -150           -100     -0.0044624     0.00548204    -0.00587624              0              0              0
          -44           -150           -100     -0.0043811     0.00551586       -0.00597              0              0              0
          -40           -150           -100    -0.00429979     0.00554969    -0.00606376              0              0              0
          -36           -150           -100    -0.00421849     0.00558351    -0.00615752              0              0              0
          -32           -150           -100    -0.00412087     0.00561531    -0.00624809              0              0              0
          -28           -150           -100    -0.00401201      0.0056457    -0.00633646              0              0              0
          -24           -150           -100    -0.00390315      0.0056761    -0.00642484              0              0              0
          -20           -150           -100    -0.00379308     0.00570633    -0.00651283              0              0              0
          -16           -150           -100    -0.00365778     0.00573307    -0.00659293              0              0              0
          -12           -150           -100    -0.00352248     0.00575981    -0.00667304              0              0              0
           -8           -150           -100    -0.00338719     0.00578656    -0.00675314              0              0              0
           -4           -150           -100    -0.00324377     0.00581202     -0.0068298              0              0              0
