%  ASCII export :
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%   posX              posY              posZ              momX              momY              momZ              mass              charge            macro-charge      time             particleID   sourceID

     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     6.5550500e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28    -7.8292179e-04   0            16777216
     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     6.5550500e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     0.0000000e+00   0            16777216
     3.0526314e-06    -9.9998922e-04     5.1489612e-04     7.7746334e-03     2.7420432e-05     6.5545887e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.1329629e-03   0            16777216
     1.0698082e-05    -9.9996256e-04     9.0105354e-04     1.5579372e-02     5.4018125e-05     6.5531981e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.4830038e-03   0            16777216
     2.2953698e-05    -9.9992065e-04     1.2870920e-03     2.3413209e-02     7.9770100e-05     6.5508676e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.8330450e-03   0            16777216
     3.9836217e-05    -9.9986384e-04     1.6729559e-03     3.1275108e-02     1.0465321e-04     6.5475845e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0183086e-02   0            16777216
     6.1361759e-05    -9.9979271e-04     2.0585887e-03     3.9164010e-02     1.2864414e-04     6.5433401e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.2533126e-02   0            16777216
     8.7545806e-05    -9.9970773e-04     2.4439329e-03     4.7078822e-02     1.5171943e-04     6.5381217e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.4883168e-02   0            16777216
     1.1840319e-04    -9.9960959e-04     2.8289312e-03     5.5018421e-02     1.7385547e-04     6.5319198e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.7233208e-02   0            16777216
     1.5394806e-04    -9.9949888e-04     3.2135253e-03     6.2981658e-02     1.9502846e-04     6.5247226e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.9583249e-02   0            16777216
     1.9419388e-04    -9.9937594e-04     3.5976556e-03     7.0967354e-02     2.1521455e-04     6.5165204e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.1933291e-02   0            16777216
     2.3915341e-04    -9.9924160e-04     3.9812624e-03     7.8974299e-02     2.3438968e-04     6.5073019e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.4283331e-02   0            16777216
     2.8883870e-04    -9.9909632e-04     4.3642865e-03     8.7001249e-02     2.5252972e-04     6.4970571e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.6633373e-02   0            16777216
     3.4326102e-04    -9.9894078e-04     4.7466657e-03     9.5046945e-02     2.6961046e-04     6.4857751e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.8983414e-02   0            16777216
     4.0243092e-04    -9.9877547e-04     5.1283394e-03     1.0311008e-01     2.8560756e-04     6.4734459e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.1333454e-02   0            16777216
     4.6635923e-04    -9.9860132e-04     5.5092447e-03     1.1119269e-01     3.0053014e-04     6.4600533e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.3683494e-02   0            16777216
     5.3505780e-04    -9.9841878e-04     5.8893189e-03     1.1929502e-01     3.1436936e-04     6.4455831e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.6033537e-02   0            16777216
     6.0853764e-04    -9.9822856e-04     6.2684976e-03     1.2741564e-01     3.2709946e-04     6.4300227e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.8383577e-02   0            16777216
     6.8680890e-04    -9.9803123e-04     6.6467165e-03     1.3555311e-01     3.3869452e-04     6.4133614e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.0733617e-02   0            16777216
     7.6988112e-04    -9.9782750e-04     7.0239096e-03     1.4370587e-01     3.4912856e-04     6.3955867e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.3083660e-02   0            16777216
     8.5776241e-04    -9.9761807e-04     7.4000116e-03     1.5187240e-01     3.5837549e-04     6.3766879e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.5433700e-02   0            16777216
     9.5046056e-04    -9.9740364e-04     7.7749547e-03     1.6005111e-01     3.6640911e-04     6.3566524e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.7783740e-02   0            16777216
     1.0479819e-03    -9.9718513e-04     8.1486721e-03     1.6824038e-01     3.7320322e-04     6.3354701e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.0133783e-02   0            16777216
