%  ASCII export :
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%   posX              posY              posZ              momX              momY              momZ              mass              charge            macro-charge      time             particleID   sourceID

     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     3.1006399e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28    -7.8292179e-04   0            16777216
     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     3.1006399e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     0.0000000e+00   0            16777216
     1.5768758e-06    -9.9999446e-04     3.4819852e-04     2.8080111e-03     9.9353283e-06     3.1005129e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.9218818e-03   0            16777216
     5.6821091e-06    -9.9998002e-04     6.2685966e-04     5.6239287e-03     1.9638059e-05     3.1001300e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.0608417e-03   0            16777216
     1.2322688e-05    -9.9995709e-04     9.0547185e-04     8.4475409e-03     2.9103525e-05     3.0994889e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0199802e-02   0            16777216
     2.1505410e-05    -9.9992577e-04     1.1840119e-03     1.1278634e-02     3.8327031e-05     3.0985880e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.3338761e-02   0            16777216
     3.3236869e-05    -9.9988619e-04     1.4624562e-03     1.4116985e-02     4.7303860e-05     3.0974245e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.6477721e-02   0            16777216
     4.7523470e-05    -9.9983881e-04     1.7407811e-03     1.6962372e-02     5.6029272e-05     3.0959967e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.9616682e-02   0            16777216
     6.4371408e-05    -9.9978363e-04     2.0189628e-03     1.9814564e-02     6.4498505e-05     3.0943021e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.2755641e-02   0            16777216
     8.3786661e-05    -9.9972100e-04     2.2969770e-03     2.2673331e-02     7.2706775e-05     3.0923390e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.5894601e-02   0            16777216
     1.0577502e-04    -9.9965115e-04     2.5747993e-03     2.5538433e-02     8.0649290e-05     3.0901048e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.9033562e-02   0            16777216
     1.3034203e-04    -9.9957432e-04     2.8524057e-03     2.8409630e-02     8.8321220e-05     3.0875972e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.2172520e-02   0            16777216
     1.5749305e-04    -9.9949085e-04     3.1297714e-03     3.1286672e-02     9.5717725e-05     3.0848148e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.5311483e-02   0            16777216
     1.8723316e-04    -9.9940074e-04     3.4068713e-03     3.4169313e-02     1.0283395e-04     3.0817547e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.8450442e-02   0            16777216
     2.1956729e-04    -9.9930447e-04     3.6836804e-03     3.7057292e-02     1.0966504e-04     3.0784157e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.1589402e-02   0            16777216
