       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          -60           -150           -100    -0.00511703      0.0144427     -0.0168418              0              0              0
          -56           -150           -100    -0.00479842      0.0144824     -0.0169365              0              0              0
          -52           -150           -100    -0.00447511      0.0145195      -0.017025              0              0              0
          -48           -150           -100    -0.00414708      0.0145538     -0.0171067              0              0              0
          -44           -150           -100    -0.00381513      0.0145856     -0.0171822              0              0              0
          -40           -150           -100    -0.00347971      0.0146149     -0.0172518              0              0              0
          -36           -150           -100    -0.00314056      0.0146413      -0.017314              0              0              0
          -32           -150           -100    -0.00279851      0.0146649     -0.0173699              0              0              0
          -28           -150           -100    -0.00245379      0.0146857      -0.017419              0              0              0
          -24           -150           -100    -0.00210693       0.014704      -0.017462              0              0              0
          -20           -150           -100    -0.00175813      0.0147195     -0.0174984              0              0              0
          -16           -150           -100    -0.00140773      0.0147322     -0.0175282              0              0              0
          -12           -150           -100    -0.00105603      0.0147421     -0.0175515              0              0              0
           -8           -150           -100    -0.00070337      0.0147493     -0.0175682              0              0              0
           -4           -150           -100   -0.000350048      0.0147533     -0.0175777              0              0              0
            0           -150           -100    3.56251e-06      0.0147545     -0.0175805              0              0              0
            4           -150           -100     0.00035724      0.0147531     -0.0175771              0              0              0
            8           -150           -100    0.000710564      0.0147492     -0.0175679              0              0              0
           12           -150           -100     0.00106318       0.014742      -0.017551              0              0              0
           16           -150           -100     0.00141482       0.014732     -0.0175275              0              0              0
           20           -150           -100     0.00176516      0.0147192     -0.0174975              0              0              0
           24           -150           -100     0.00211387      0.0147036     -0.0174609              0              0              0
           28           -150           -100     0.00246062      0.0146853     -0.0174178              0              0              0
           32           -150           -100     0.00280523      0.0146644     -0.0173685              0              0              0
           36           -150           -100     0.00314715      0.0146407     -0.0173125              0              0              0
           40           -150           -100     0.00348616      0.0146143     -0.0172501              0              0              0
           44           -150           -100     0.00382143       0.014585     -0.0171804              0              0              0
           48           -150           -100     0.00415321      0.0145531     -0.0171048              0              0              0
           52           -150           -100     0.00448106      0.0145187     -0.0170229              0              0              0
           56           -150           -100     0.00480419      0.0144815     -0.0169343              0              0              0
           60           -150           -100     0.00512261      0.0144418     -0.0168395              0              0              0
           64           -150           -100     0.00543579      0.0143996     -0.0167385              0              0              0
           68           -150           -100     0.00574336      0.0143548     -0.0166314              0              0              0
           72           -150           -100     0.00604492      0.0143075     -0.0165182              0              0              0
           76           -150           -100     0.00633999      0.0142577      -0.016399              0              0              0
           80           -150           -100     0.00662797      0.0142054     -0.0162738              0              0              0
           84           -150           -100     0.00690891      0.0141508      -0.016143              0              0              0
           88           -150           -100     0.00718244      0.0140938     -0.0160068              0              0              0
           92           -150           -100     0.00744811      0.0140344     -0.0158653              0              0              0
           96           -150           -100     0.00770569      0.0139728     -0.0157187              0              0              0
          100           -150           -100     0.00795477       0.013909     -0.0155672              0              0              0
          104           -150           -100     0.00819503      0.0138429     -0.0154109              0              0              0
          108           -150           -100     0.00842618      0.0137746     -0.0152501              0              0              0
          112           -150           -100     0.00864745       0.013704     -0.0150848              0              0              0
          116           -150           -100     0.00885809      0.0136311     -0.0149151              0              0              0
          120           -150           -100     0.00906002      0.0135563      -0.014742              0              0              0
          124           -150           -100      0.0092519      0.0134794     -0.0145655              0              0              0
          128           -150           -100     0.00943353      0.0134005     -0.0143856              0              0              0
          132           -150           -100     0.00960433      0.0133195     -0.0142026              0              0              0
          136           -150           -100     0.00976401      0.0132364     -0.0140167              0              0              0
          140           -150           -100     0.00991392      0.0131516     -0.0138286              0              0              0
