       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          -75           -150           -100    -0.00548883      0.0130805    -0.00840095              0              0              0
          -70           -150           -100    -0.00515915      0.0131351    -0.00848394              0              0              0
          -65           -150           -100    -0.00482171      0.0131863    -0.00856152              0              0              0
          -60           -150           -100    -0.00447714      0.0132339     -0.0086336              0              0              0
          -55           -150           -100    -0.00412607       0.013278    -0.00870009              0              0              0
          -50           -150           -100    -0.00376919      0.0133185    -0.00876102              0              0              0
          -45           -150           -100    -0.00340706      0.0133554    -0.00881632              0              0              0
          -40           -150           -100    -0.00304029      0.0133887    -0.00886601              0              0              0
          -35           -150           -100    -0.00266901      0.0134179    -0.00890949              0              0              0
          -30           -150           -100    -0.00229416      0.0134433    -0.00894717              0              0              0
          -25           -150           -100    -0.00191643       0.013465    -0.00897926              0              0              0
          -20           -150           -100    -0.00153596      0.0134825    -0.00900506              0              0              0
          -15           -150           -100     -0.0011536      0.0134962    -0.00902512              0              0              0
          -10           -150           -100   -0.000769826      0.0135059    -0.00903944              0              0              0
           -5           -150           -100    -0.00038524      0.0135124    -0.00904891              0              0              0
            0           -150           -100   -8.14907e-09      0.0135144    -0.00905181              0              0              0
            5           -150           -100    0.000385224      0.0135124    -0.00904891              0              0              0
           10           -150           -100     0.00076981      0.0135059    -0.00903945              0              0              0
           15           -150           -100     0.00115358      0.0134962    -0.00902512              0              0              0
           20           -150           -100     0.00153594      0.0134825    -0.00900506              0              0              0
           25           -150           -100     0.00191641       0.013465    -0.00897926              0              0              0
           30           -150           -100     0.00229415      0.0134433    -0.00894717              0              0              0
           35           -150           -100     0.00266899      0.0134179    -0.00890949              0              0              0
           40           -150           -100     0.00304028      0.0133887    -0.00886601              0              0              0
           45           -150           -100     0.00340704      0.0133554    -0.00881632              0              0              0
           50           -150           -100     0.00376918      0.0133185    -0.00876103              0              0              0
           55           -150           -100     0.00412606       0.013278    -0.00870009              0              0              0
           60           -150           -100     0.00447713      0.0132339     -0.0086336              0              0              0
           65           -150           -100     0.00482169      0.0131863    -0.00856153              0              0              0
           70           -150           -100     0.00515913      0.0131351    -0.00848395              0              0              0
           75           -150           -100     0.00548882      0.0130805    -0.00840095              0              0              0
           80           -150           -100     0.00580964      0.0130222    -0.00831238              0              0              0
           85           -150           -100     0.00612131      0.0129605    -0.00821863              0              0              0
           90           -150           -100     0.00642318      0.0128954    -0.00811985              0              0              0
           95           -150           -100     0.00671485       0.012827    -0.00801632              0              0              0
          100           -150           -100     0.00699501      0.0127552    -0.00790797              0              0              0
          105           -150           -100     0.00726373      0.0126802    -0.00779531              0              0              0
          110           -150           -100     0.00752053       0.012602    -0.00767861              0              0              0
          115           -150           -100     0.00776646       0.012521    -0.00755854              0              0              0
          120           -150           -100      0.0079984      0.0124365    -0.00743458              0              0              0
          125           -150           -100      0.0082164      0.0123488    -0.00730725              0              0              0
          130           -150           -100     0.00842095       0.012258    -0.00717709              0              0              0
          135           -150           -100     0.00861182      0.0121642    -0.00704441              0              0              0
          140           -150           -100     0.00878944      0.0120676    -0.00690962              0              0              0
          145           -150           -100     0.00895277       0.011968    -0.00677292              0              0              0
          150           -150           -100     0.00910203      0.0118655    -0.00663469              0              0              0
          155           -150           -100     0.00923686      0.0117601    -0.00649524              0              0              0
          160           -150           -100     0.00935807       0.011652    -0.00635496              0              0              0
          165           -150           -100     0.00946551      0.0115413    -0.00621416              0              0              0
          170           -150           -100     0.00955946      0.0114279    -0.00607313              0              0              0
          175           -150           -100     0.00964009      0.0113119    -0.00593217              0              0              0
          180           -150           -100     0.00970632      0.0111933    -0.00579162              0              0              0
          185           -150           -100     0.00975976      0.0110723    -0.00565174              0              0              0
          190           -150           -100     0.00980149      0.0109491    -0.00551273              0              0              0
          195           -150           -100     0.00983117      0.0108238    -0.00537485              0              0              0
          200           -150           -100      0.0098503      0.0106965    -0.00523816              0              0              0
          205           -150           -100     0.00985654       0.010567    -0.00510324              0              0              0
          210           -150           -100     0.00985268      0.0104358    -0.00496995              0              0              0
          215           -150           -100     0.00983859      0.0103028    -0.00483854              0              0              0
          220           -150           -100     0.00981477      0.0101682    -0.00470914              0              0              0
          225           -150           -100      0.0097817      0.0100322    -0.00458189              0              0              0
          230           -150           -100     0.00973987     0.00989478    -0.00445688              0              0              0
          235           -150           -100      0.0096898     0.00975619    -0.00433421              0              0              0
          240           -150           -100     0.00963196     0.00961651    -0.00421395              0              0              0
          245           -150           -100     0.00956695      0.0094759    -0.00409613              0              0              0
          250           -150           -100     0.00949499     0.00933446    -0.00398089              0              0              0
          255           -150           -100     0.00941677     0.00919235    -0.00386818              0              0              0
          260           -150           -100     0.00933302     0.00904971    -0.00375789              0              0              0
          265           -150           -100     0.00924331     0.00890663    -0.00365045              0              0              0
          270           -150           -100     0.00914895     0.00876328     -0.0035454              0              0              0
          275           -150           -100     0.00904974     0.00861976    -0.00344309              0              0              0
          280           -150           -100      0.0089462     0.00847621    -0.00334346              0              0              0
          285           -150           -100     0.00883893     0.00833276    -0.00324638              0              0              0
          290           -150           -100     0.00872852     0.00818951    -0.00315166              0              0              0
          295           -150           -100     0.00861499     0.00804655    -0.00305942              0              0              0
          300           -150           -100      0.0084985     0.00790406    -0.00296985              0              0              0
          305           -150           -100     0.00837952     0.00776213    -0.00288279              0              0              0
          310           -150           -100     0.00825846     0.00762085    -0.00279811              0              0              0
          315           -150           -100      0.0081356      0.0074803    -0.00271576              0              0              0
          320           -150           -100     0.00801118     0.00734059     -0.0026357              0              0              0
